데이터 추출일 : 2026-07-21 16:36:43
약국명,대표전화,도로명주소,지번주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
365열린약국,02-459-2005,"서울특별시 강남구 삼성로 14, 2층 216-2호 (개포동, 개포자이 프레지던스)",,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~18:00,09:00~18:00,09:00~18:00
365열린약국,02-3666-0784,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~22:00,09:00~22:00
365열린약국,02-3661-3650,"서울특별시 강서구 공항대로41길 52, 버들빌딩 1층 (등촌동)",,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,09:00~25:00,09:00~25:00
365일연향대형약국,061-746-3651,"전남광주통합특별시 순천시 연향3로 11, 1층 1A 4호~6호 (연향동)",전라남도 순천시 연향동 1319-1,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30
365정약국,02-2013-5811,"서울특별시 강서구 양천로 570, NH서울축산농협 NH서울타워 1층 115호 (등촌동)",,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~24:00
365청솔약국,055-242-9223,경상남도 창원시 마산합포구 해안대로 7,경상남도 창원시 마산합포구 월남동5가 4-1 경남은행 ,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~20:00,,09:00~20:00
365행복약국,032-429-8184,"인천광역시 남동구 논고개로123번길 35, 칼리오페 1층 106호 (논현동)",,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:30~15:00,10:00~14:00,
365회기역약국,02-6212-1494,"서울특별시 동대문구 회기로 193, 1층 (휘경동)",,08:00~23:30,08:00~23:30,08:00~23:30,08:00~23:30,08:00~23:30,09:00~23:30,10:00~23:30,10:00~23:30
GM약국,052-211-2285,"울산광역시 울주군 범서읍 구영로 86, 2층 202,203호 (GM프라자)",,09:00~19:00,09:00~19:00,09:00~19:00,09:00~25:00,09:00~19:00,09:00~25:00,11:00~25:00,09:00~19:00
가람약국,052-257-7584,울산광역시 남구 삼산로 159-1 (달동),,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00
가장큰약국,041-424-8953,"충청남도 아산시 모종남로12번길 9, 1층 (모종동)",,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00
간석온누리약국,032-868-6682,"인천광역시 남동구 경원대로 971 (간석동, 홈플러스 2층일부)",인천광역시 남동구 간석4동 616-3,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
감귤약국,064-901-2046,제주특별자치도 서귀포시 동문로 64(서귀동),,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,,
감초당약국,02-412-0306,서울특별시 송파구 백제고분로41길 11  (송파동),서울특별시 송파구 송파동 17-3 은혜빌딩 ,13:00~22:30,13:00~22:30,13:00~22:30,13:00~22:30,13:00~22:30,13:00~22:30,13:00~22:30,13:00~22:30
강남레디영약국,070-5056-0533,"서울특별시 서초구 서초대로77길 5, 1~2층 (서초동)",,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
강남백년가약국,02-597-0119,"서울특별시 서초구 효령로 431, 서초동 청화오피스텔 102호 (서초동)",,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,22:00~25:00,22:00~25:00
강남새천년온누리약국,02-552-3524,"서울특별시 강남구 도곡로 523, 1층 (대치동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
강남약국,033-252-1149,강원특별자치도 춘천시 행촌로 29 (퇴계동),,09:00~25:00,09:00~21:00,09:00~25:00,09:00~25:00,09:00~21:00,09:00~25:00,22:00~25:00,09:00~25:00
강남웰약국,02-6440-5656,서울특별시 강남구 강남대로 432 1층 (역삼동),서울특별시 강남구 역삼동 815 점프밀라노 1층,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,11:00~21:00,09:00~22:00
강남효약국,031-286-3379,경기도 용인시 기흥구 신구로12번길 11-1 (구갈동),,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00
강동365약국,02-429-0365,"서울특별시 강동구 양재대로 1574, 101호 (명일동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
강북약국,053-323-8736,"대구광역시 북구 칠곡중앙대로 450, 1층 101호 (읍내동)",대구광역시 북구 읍내동 1341번지(1층일부),08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,14:00~22:00,08:00~24:00
강서365아이맘약국,02-3664-0522,"서울특별시 강서구 공항대로41길 34, 플러스존 1층 101호 (등촌동)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
강서제일큰약국,02-2661-9293,"서울특별시 강서구 강서로 287, 호경빌딩 1층 (내발산동)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
갤러리약국,02-6227-5578,서울특별시 강남구 학동로20길 55 106호,서울특별시 강남구 논현동 158 해림빌딩 106호,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:00~22:30,11:00~22:30,
건강약국,032-548-2095,"인천광역시 계양구 봉오대로 785, (주)이마트 (작전동)",,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,10:00~23:00
건강약국,042-626-9707,대전광역시 대덕구 중리로 60,대전광역시 대덕구 중리동 375-27,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,17:00~25:00,
건강약국,055-864-7842,"경상남도 남해군 남해읍 화전로96번가길 13-1, 건강약국",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~21:00
건강약국,053-626-7980,"대구광역시 남구 대명로 205, 1층 101호 (대명동)",,21:00~24:00,21:00~24:00,21:00~24:00,21:00~24:00,21:00~24:00,21:00~24:00,21:00~24:00,21:00~24:00
건대365알찬약국,02-2138-1921,"서울특별시 광진구 능동로13길 11, 1층 일부호 (화양동)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
건대365약국,02-466-5111,"서울특별시 광진구 능동로 123, 1층 103호 (화양동)",,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00
건대가온약국,02-453-4669,"서울특별시 광진구 광나루로 410, 105호 (화양동, KCC파크타운)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~22:00
건명약국,02-435-3900,서울특별시 중랑구 면목로 421,서울특별시 중랑구 면목본동 126-6,09:00~21:00,09:00~25:00,09:00~21:00,09:00~25:00,09:00~18:00,,09:00~25:00,09:00~25:00
건인약국,031-423-1185,경기도 안양시 동안구 인덕원로24번길 56 (관양동),,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:30~22:30,,
경기약국,031-765-8562,경기도 광주시 고불로 58 (중대동),,06:30~23:00,06:30~23:00,06:30~23:00,06:30~23:00,06:30~23:00,09:00~21:00,09:00~21:00,06:30~23:00
경남약국,051-325-3355,"부산광역시 사상구 사상로 194, 괘법동 메디컬센터 1층 (괘법동)",부산광역시 사상구 괘법동 546-12,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,,
경동메디칼약국,054-534-6055,경상북도 상주시 상산로 251 (남성동),경상북도 상주시 남성동 84-49번지,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00
경안365약국,031-765-9875,"경기도 광주시 광주대로 31, 광주지에이타워 107호 (경안동)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~18:30,09:00~18:30,09:00~18:30
경희약국,053-253-4467,대구광역시 중구 국채보상로 603 (문화동),,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00
계산온누리약국,02-925-4551,"서울특별시 성북구 동소문로20길 43, 1층 (동선동1가)",,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30,13:00~22:30,13:00~22:30,15:00~22:30
고래약국,02-333-7967,"서울특별시 마포구 신촌로 지하 90, 신촌역 B1 240-107호 (노고산동)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
고려약국,054-783-6977,경상북도 울진군 북면 울진북로 2067,,08:00~19:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~19:00,08:00~15:00,22:00~25:00,
고려약국,054-821-0752,경상북도 안동시 경동로 912 (용상동),,08:30~23:00,09:00~23:00,09:00~23:00,09:00~23:00,08:30~23:00,09:00~23:00,09:00~23:00,09:00~22:00
고려약국,031-881-1163,"경기도 여주시 점동면 청안로 123,",경기도 여주시 점동면 청안리 127-4,22:00~25:00,22:00~25:00,22:00~25:00,09:00~18:30,22:00~25:00,22:00~25:00,22:00~25:00,
고려온누리약국,052-274-1910,"울산광역시 남구 월평로171번길 9, 1층 (신정동)",,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~18:00,08:30~18:00,
고려원약국,032-541-0248,"인천광역시 계양구 경명대로 1074, 삼환1빌딩 102호 (계산동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~17:00,,09:00~13:00
고양제일큰약국,031-973-1005,"경기도 고양시 덕양구 화중로 50, 반석플라자 101호 (화정동)",,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,
고현서울약국,055-636-8539,"경상남도 거제시 서문로5길 6, 104호 (고현동)",,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~18:00,09:00~18:00,09:00~18:00
곰돌이스타약국,02-595-8795,"서울특별시 서초구 방배로 226, 3층 303호 (방배동)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
곰돌이약국,02-6953-7635,"서울특별시 중구 왕십리로 407, B2-05-02호 (신당동, 신당 파인힐 하나유보라)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
광제당약국,031-293-3632,"경기도 수원시 권선구 입북로 47, 성지빌딩 103호 (입북동)",경기도 수원시 장안구 천천동 524-2,12:00~24:00,12:00~24:00,12:00~24:00,12:00~24:00,12:00~24:00,10:30~19:00,,14:00~24:00
광제약국,051-506-0365,"부산광역시 동래구 여고북로 192, 장안빌딩 (사직동)",부산광역시 동래구 사직3동 141-1,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00
광제약국,041-548-1642,충청남도 아산시 배방읍 모산로 133,,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,09:00~24:00,09:00~24:00
광주태평양약국,031-798-6240,"경기도 광주시 중앙로 101, 클리닉빌딩 제1층 103,104호 (경안동)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~22:00,08:00~22:00,08:00~23:00
광진365플러스약국,02-455-3655,"서울특별시 광진구 천호대로 566, 동우빌딩 1층 (능동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
광진제일큰약국,02-6215-2225,"서울특별시 광진구 자양로 164, 하림빌딩 1층 (구의동)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
구미대형약국,054-463-8275,경상북도 구미시 1공단로 169(공단동),,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:30~13:00,,
구민사약국,031-403-2913,"경기도 안산시 단원구 화정천서로3길 7, (선부동)",경기도 안산시 단원구 선부3동 1089-3,11:00~22:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,11:00~22:00,16:00~23:00,16:00~23:00
구정열린약국,033-644-7133,강원특별자치도 강릉시 구정면 범일로 444 (구정면),,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
구정프라자약국,033-642-3474,강원특별자치도 강릉시 구정면 범일로 447,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
국민약국,043-237-4987,충청북도 청주시 청원구 율량로202번길 60 (율량동),,18:00~25:00,18:00~25:00,18:00~25:00,18:00~25:00,18:00~25:00,17:00~26:00,17:00~26:00,18:00~25:00
굿모닝약국,054-336-3949,"경상북도 영천시 옛군청1길 34, (문내동)",경상북도 영천시 문내동 152-29번지,09:00~23:00,09:00~23:00,09:00~23:00,09:00~18:00,09:00~18:00,,,
그랜드약국,02-462-8447,"서울특별시 광진구 아차산로29길 55, (화양동)",서울특별시 광진구 화양동 34-4,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,11:00~22:00,11:00~22:30
그린봄약국,050-71482-2508,"서울 구로구 도림천로 351 대림역 지상2층 환승구간, 그린봄약국(1~8번출구)  (구로동)",,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,09:00~23:00,09:00~23:00,
그린약국,054-221-4951,경상북도 포항시 남구 지곡로328번길 17,경상북도 포항시 남구 지곡동 949번지,09:00~20:00,09:00~23:00,09:00~20:00,09:00~23:00,09:00~23:00,09:00~21:30,,09:00~22:00
금강약국,061-535-1144,전남광주통합특별시 해남군 해남읍 해남로 45-1,"전라남도 해남군 해남읍 181-1,182",08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~24:00,08:10~13:00,,
금광약국,031-755-1924,경기도 성남시 수정구 시민로 227 (태평동),,09:00~21:00,09:00~21:00,08:30~23:00,09:00~21:00,08:30~23:00,08:30~22:00,09:00~20:00,10:00~22:00
금천제일큰약국,02-6949-1238,"서울특별시 금천구 두산로 75, 홍은빌딩 1층 (독산동)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
금호스타약국,062-383-8255,"전남광주통합특별시 서구 금화로 71, 미미빌딩 1층 103호 (금호동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
기린약국,02-371-2933,"경기도 고양시 덕양구 지축로 86, 103호 (지축동)",,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~14:00,09:00~14:00,09:00~14:00
길동보룡약국,02-477-4114,서울특별시 강동구 양재대로 1478 (길동),,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~22:00,09:00~22:00
나나약국,041-736-5035,"충청남도 논산시 시민로132번길 48, 115호 (내동)",,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,12:00~25:00,11:00~25:00
나래약국,062-675-0203,"전남광주통합특별시 남구 대남대로 131, 미래아동병원 1층 (주월동)",광주광역시 남구 주월동 1250-10,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
나래종로약국,070-4221-9797,전남광주통합특별시 북구 첨단연신로 97  (신용동),광주광역시 북구 신용동 733 ,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00
나은온누리약국,063-548-1105,전북특별자치도 김제시 남북로 231 (요촌동),,21:00~24:00,21:00~24:00,21:00~24:00,09:00~18:00,21:00~24:00,08:30~13:00,21:00~24:00,
나현약국,02-936-7718,"서울특별시 노원구 상계로12길 41, (상계동)",서울특별시 노원구 상계2동 176-103,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00
남구로약국,02-838-3104,서울특별시 구로구 구로동로 33 (가리봉동),,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00
남문프라자약국,02-837-5550,서울특별시 금천구 시흥대로 436,서울특별시 금천구 독산동 159 -17,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~22:00,09:00~22:00
남산태평양약국,043-847-8051,"충청북도 충주시 남산4길 52, (교현동)",충청북도 충주시 교현1동 981,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
남수원약국,031-223-4746,경기도 화성시 효행구 봉담읍 와우안길 65 (봉담읍),,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
내송드림약국,055-365-4100,"경상남도 양산시 동면 내송내안2길 29, 1층 104호",,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59
노닐약국,042-622-5511,대전광역시 동구 동서대로 1689 서관 1층 (용전동),대전광역시 동구 용전동 63-3 대전복합터미널(서관) 서관 1층,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00
노바약국,02-542-3696,서울특별시 강남구 강남대로118길 51 ,서울특별시 강남구 논현동 180-18 ,14:00~25:00,14:00~25:00,14:00~25:00,14:00~25:00,14:00~25:00,14:00~25:00,14:00~25:00,14:00~25:00
노바약국,02-318-0609,"서울특별시 중구 명동2길 53, 24-19,24-20,24-34 1층 103호 (충무로1가)",,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00
노벨약국,02-898-0607,"경기도 광명시 하안로 295, 1층 (하안동)",,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,08:00~21:00,10:00~21:00,22:00~25:00
녹십자해솔약국,031-401-1967,"경기도 안산시 상록구 해양5로 11, 상가 213호 (사동)",경기도 안산시 상록구 성포동  586 홈플러스 안산점 ,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~13:00,09:00~23:00,09:00~23:00
논현프라자약국,032-441-3170,"인천광역시 남동구 논고개로 117, 메트로타워 (논현동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,09:00~22:00,09:00~23:00
누엘약국,061-723-2843,전남광주통합특별시 순천시 조례1길 10-26 (조례동),전라남도 순천시 조례동 571-1,09:00~23:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~18:00,09:00~18:00,09:00~18:00
뉴녹십자약국,032-343-0307,"경기도 부천시 원미구 부일로 727, 1층 (역곡동, 2000BNG빌딩)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,09:00~22:00,09:00~22:00
뉴스케치약국,070-4131-0625,"서울특별시 중구 명동8가길 9, 1층 뉴스케치 약국 (충무로2가)",,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00
뉴프라임약국,02-403-2638,"서울특별시 송파구 송파대로 278, 1층 (가락동)",,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~23:00,09:00~22:00,09:00~22:00
늘봄약국,031-465-0111,경기도 안양시 만안구 박달로 531 (박달동),,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,09:00~22:30,09:00~22:30,09:00~22:30
늘봄약국,054-748-8575,경상북도 경주시 화랑로 139 (성동동),경상북도 경주시 성동동 399-52,09:00~23:00,09:00~23:00,09:00~18:00,09:00~23:00,09:00~23:00,09:00~23:00,,09:00~18:00
늘열린약국,055-336-7924,"경상남도 김해시 분성로 536, 김해어방우편취급소 (어방동)",경상남도 김해시 어방동 1096-12번지,07:00~22:30,07:00~22:30,07:00~22:30,07:00~22:30,07:00~22:30,07:00~23:45,07:00~22:30,07:00~22:30
다나약국,031-374-2878,경기도 오산시 오산로 70 (갈곶동),,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,10:00~23:00,10:00~23:00
다낫는럭스타워약국,070-8815-1626,"경기도 성남시 분당구 대왕판교로606번길 39, 럭스타워 109,110호 (삼평동)",,09:00~22:00,09:00~22:00,09:00~22:00,09:00~25:00,09:00~22:00,09:00~22:00,15:00~21:00,18:00~25:00
다산현대약국,070-7576-2443,"경기도 남양주시 다산순환로 350, 다산진건지구 상업2-7-1,2 106,107호 (다산동)",,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
다온약국,02-6085-6418,"서울특별시 노원구 노해로 495, 삼성빌딩 1층 102,103호 (상계동)",,09:30~22:10,09:30~22:10,09:30~22:10,09:30~22:10,09:30~22:10,09:30~22:00,15:00~21:00,
다온약국,031-291-7732,"경기도 수원시 권선구 서부로1596번길 10, 105호 (고색동)",,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:00~18:00,09:00~18:00,09:00~18:00
다온약국,062-652-5800,"전남광주통합특별시 북구 첨단연신로 100, 첨단2지구 대성베르힐 A동 110호 (신용동)",,14:00~23:00,14:00~23:00,14:00~23:00,14:00~23:00,14:00~23:00,15:00~23:00,15:00~23:00,
다원약국,031-901-0121,경기도 고양시 일산동구 정발산로 39 대양빌딩 (장항동),경기도 고양시 일산동구 장항동 856-1 대양빌딩 대양빌딩,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,11:00~24:00,11:00~24:00
다원약국,031-232-3737,"경기도 수원시 권선구 권광로 62, 백림빌딩 1층 101호 (권선동)",,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,09:00~14:00,,10:00~23:00
달빛약국,055-912-9739,"경상남도 양산시 물금읍 물금로 75, 상가동 1층 109호 (이지더원 그랜드파크)",,12:00~24:00,12:00~24:00,12:00~24:00,12:00~24:00,12:00~24:00,12:00~24:00,12:00~24:00,09:00~24:00
대경약국,051-242-2962,"부산광역시 서구 자갈치로 10, (충무동1가)",부산광역시 서구 충무동1가 12,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,22:00~25:00,22:00~25:00
대동약국,062-223-7675,전남광주통합특별시 동구 백서로125번길 25,광주광역시 동구 금동 100-2,10:00~26:00,10:00~26:00,10:00~26:00,10:00~26:00,10:00~26:00,10:00~26:00,10:00~26:00,10:00~26:00
대림약국,02-889-3188,서울특별시 관악구 낙성대로 22 (봉천동),서울특별시 관악구 낙성대동 1625-17,08:30~24:30,08:30~24:30,08:30~24:30,08:30~24:30,08:30~24:30,09:00~24:30,09:00~24:30,09:00~24:30
대명약국,032-543-0224,"인천광역시 계양구 효서로 233, 109호 (작전동)",인천광역시 계양구 작전2동 865-37,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:00,,10:00~22:00
